ros_time,elapsed,phase,max_position_error,max_velocity,min_inter_agent_distance,fresh_agent_count,stale_agent_ids,hold_elapsed,model_hold_elapsed,model_hold_pending
1789744936.5096343,0.851976156,MOVING,2.0368666279729912,0.34349057681804906,3.988053629028296,7,,0.0,,False
1789744936.559667,0.90200901,MOVING,2.038318186290129,0.4015869898679599,3.983597366985832,7,,0.0,,False
1789744936.60969,0.95203185,MOVING,2.039944843649474,0.5117085185729211,3.977979985344947,7,,0.0,,False
1789744936.6598048,1.002146721,MOVING,2.0419244740608766,0.5619902296923848,3.9693841522310933,7,,0.0,,False
1789744936.7096648,1.052006721,MOVING,2.044105369130382,0.6011814721132533,3.9624917248671347,7,,0.0,,False
1789744936.7596354,1.101977348,MOVING,2.048511567338115,0.6396972031086641,3.952262381650933,7,,0.0,,False
1789744936.8096812,1.152023077,MOVING,2.0532074340224837,0.6655808707205314,3.937422639079195,7,,0.0,,False
1789744936.859734,1.202075958,MOVING,2.057745980901827,0.6655808707205314,3.9260654628967395,7,,0.0,,False
1789744936.9096847,1.252026558,MOVING,2.065744229799409,0.6655808707205314,3.909695610166818,7,,0.0,,False
1789744936.959757,1.302098989,MOVING,2.0733002317323384,0.6655808707205314,3.890879063727477,7,,0.0,,False
1789744937.009655,1.351996898,MOVING,2.0815726584258107,0.6740604220643706,3.8677451971001,7,,0.0,,False
1789744937.059626,1.401968002,MOVING,2.0904949730841276,0.747970129862361,3.8453627471630947,7,,0.0,,False
1789744937.1096823,1.452024221,MOVING,2.1001436339736013,0.8252576081914389,3.812459823288539,7,,0.0,,False
1789744937.1596854,1.502027273,MOVING,2.108351478597862,0.9023146279498583,3.788124599315155,7,,0.0,,False
1789744937.2096927,1.552034616,MOVING,2.1214637731247574,0.981337319832781,3.7559786770096926,7,,0.0,,False
1789744937.2596338,1.6019756790000002,MOVING,2.1327459465982237,1.0597030107961565,3.720448980126488,7,,0.0,,False
1789744937.30973,1.652071952,MOVING,2.143890508941376,1.1343951348668995,3.682093428986677,7,,0.0,,False
1789744937.359654,1.701995849,MOVING,2.154718115312027,1.2088703988343963,3.640979462291209,7,,0.0,,False
1789744937.409629,1.751971006,MOVING,2.1652143259586745,1.275630890445935,3.597191782915778,7,,0.0,,False
1789744937.4596462,1.801988124,MOVING,2.1754511886248475,1.3385170724608473,3.55083005076635,7,,0.0,,False
1789744937.5096238,1.851965665,MOVING,2.1855392854022644,1.3932636173093027,3.5020237425946963,7,,0.0,,False
1789744937.5596838,1.902025699,MOVING,2.193584749923882,1.4380731594962408,3.439808615109148,7,,0.0,,False
1789744937.6097262,1.95206809,MOVING,2.2057566854487196,1.4733320412458561,3.397701283814507,7,,0.0,,False
1789744937.6596956,2.002037525,MOVING,2.2140346491589833,1.495545794403631,3.342590077379243,7,,0.0,,False
1789744937.7099314,2.052273273,MOVING,2.2266138993460047,1.555971136297474,3.2735862226613444,7,,0.0,,False
1789744937.7596464,2.101988315,MOVING,2.2350151124066153,1.5935432552188518,3.227848945979054,7,,0.0,,False
1789744937.809708,2.152050018,MOVING,2.246338485849022,1.6330063011779619,3.1688974938116616,7,,0.0,,False
1789744937.8597157,2.2020576,MOVING,2.255579070001062,1.6629276551635193,3.10942604260409,7,,0.0,,False
1789744937.9097116,2.252053499,MOVING,2.264039097272624,1.6821335456555013,3.0498845020399155,7,,0.0,,False
1789744937.9597538,2.302095651,MOVING,2.2721404723499283,1.6896131898621327,2.990786218594848,7,,0.0,,False
1789744938.0096881,2.352030038,MOVING,2.280069503009131,1.6896308418161756,2.9326408812705256,7,,0.0,,False
1789744938.0597193,2.402061224,MOVING,2.287022692249909,1.6896308418161756,2.8759808968437657,7,,0.0,,False
1789744938.1096792,2.452021122,MOVING,2.2930028460678953,1.6896308418161756,2.821308171195985,7,,0.0,,False
1789744938.1596925,2.5020344249999997,MOVING,2.299020496065501,1.6896308418161756,2.7690777671701903,7,,0.0,,False
1789744938.209698,2.552039861,MOVING,2.305006614765403,1.6891449286324416,2.709092929499835,7,,0.0,,False
1789744938.2596307,2.60197258,MOVING,2.310242215337918,1.6790835437254061,2.67349239277057,7,,0.0,,False
1789744938.3096669,2.652008772,MOVING,2.3151165410383885,1.6562669806771673,2.6307189697333504,7,,0.0,,False
1789744938.3596609,2.702002763,MOVING,2.3193725673295855,1.6210083096474033,2.582979303660805,7,,0.0,,False
1789744938.4099195,2.7522614,MOVING,2.322852400479272,1.5740085852353818,2.541191065998887,7,,0.0,,False
1789744938.459719,2.802060842,MOVING,2.3256483880101633,1.5162200203773992,2.508937256864838,7,,0.0,,False
1789744938.5097039,2.852045774,MOVING,2.3273218635420423,1.448787259220063,2.470579155747607,7,,0.0,,False
1789744938.5597067,2.902048587,MOVING,2.3278152958666176,1.37294224569135,2.4357863778511852,7,,0.0,,False
1789744938.6097524,2.952094316,MOVING,2.3278152958666176,1.2899626645702018,2.3978730411512656,7,,0.0,,False
1789744938.659772,3.002113819,MOVING,2.3278152958666176,1.2011306244221918,2.377268266016662,7,,0.0,,False
1789744938.7097683,3.052110195,MOVING,2.3278152958666176,1.1076990176219554,2.3536511641703197,7,,0.0,,False
1789744938.759674,3.102015972,MOVING,2.3278152958666176,1.0108811610745851,2.3292054808584903,7,,0.0,,False
1789744938.810009,3.1523509020000002,MOVING,2.3276200481838307,0.9118298052868548,2.3177100647097384,7,,0.0,,False
1789744938.8596306,3.201972484,MOVING,2.32610155736427,0.8116334734595559,2.305304195360256,7,,0.0,,False
1789744938.909632,3.2519738670000002,MOVING,2.3229874473936767,0.7113115582545526,2.2965163928443793,7,,0.0,,False
1789744938.9598846,3.302226543,MOVING,2.3180930932962625,0.6118138290065706,2.2894155102397575,7,,0.0,,False
1789744939.0097358,3.3520777219999998,MOVING,2.3112733566281087,0.5140316516005002,2.289379606450671,7,,0.0,,False
1789744939.0596924,3.402034282,MOVING,2.302384542257042,0.4565258885403376,2.2907782347917136,7,,0.0,,False
1789744939.1096945,3.45203638,MOVING,2.291283869103321,0.4903789152136807,2.295288876827421,7,,0.0,,False
1789744939.1596637,3.5020055770000003,MOVING,2.2778614857410786,0.5381262790516673,2.302742893313783,7,,0.0,,False
1789744939.2099178,3.552259683,MOVING,2.2620174048129287,0.6000206801596356,2.3139804848502643,7,,0.0,,False
1789744939.2596674,3.602009296,MOVING,2.243680624420534,0.6423309618255595,2.3243764293305884,7,,0.0,,False
1789744939.3096542,3.651996135,MOVING,2.2228046543437605,0.7053697027074426,2.34086439490403,7,,0.0,,False
1789744939.3596368,3.701978683,MOVING,2.1993659263190333,0.7481234580523269,2.3581360048609796,7,,0.0,,False
1789744939.4096885,3.752030372,MOVING,2.1733649178341166,0.7985765159559333,2.377325492856187,7,,0.0,,False
1789744939.4596367,3.801978588,MOVING,2.1448156471458053,0.8456836529351373,2.3982073277347395,7,,0.0,,False
1789744939.509672,3.852013826,MOVING,2.113750762193355,0.8949179758679794,2.4205551287839997,7,,0.0,,False
1789744939.5596197,3.901961565,MOVING,2.0802165599619657,0.930105288593382,2.447451133323876,7,,0.0,,False
